subj,setsize,cond,rt,acc,lm,log,exp,grp
13,4,within,0.575371429,0.972222222,0.563930376,0.575988235,exp1a,23
13,8,between,0.518217391,0.958333333,0.516097968,0.515847283,exp1a,23
13,8,within,0.604058824,0.944444444,0.610735725,0.605954622,exp1a,23
13,16,between,0.494565217,0.958333333,0.511845038,0.514173913,exp1a,23
13,16,within,0.633588235,0.944444444,0.704346423,0.635921008,exp1a,23
14,1,between,0.374716522,0.958333333,0.386991009,0.377563688,exp1a,24
14,1,within,0.397027429,0.972222222,0.412446555,0.392533207,exp1a,24
14,2,between,0.399836875,1,0.394933676,0.398410126,exp1a,24
14,2,within,0.431233594,0.888888889,0.432386828,0.442365938,exp1a,24
14,4,between,0.424944565,0.958333333,0.410819012,0.419256563,exp1a,24
14,4,within,0.500980694,1,0.472267372,0.49219867,exp1a,24
14,8,between,0.435835417,1,0.442589682,0.440103001,exp1a,24
14,8,within,0.5398875,0.944444444,0.552028462,0.542031401,exp1a,24
14,16,between,0.444850417,1,0.506131024,0.460949438,exp1a,24
14,16,within,0.59863197,0.916666667,0.711550641,0.591864133,exp1a,24
15,1,between,0.605096458,1,0.621582338,0.617923063,exp1a,25
15,1,within,0.691771857,0.972222222,0.668081863,0.674951936,exp1a,25
15,2,between,0.639801087,0.958333333,0.62182926,0.620815269,exp1a,25
15,2,within,0.658615,0.972222222,0.66878027,0.6716523,exp1a,25
15,4,between,0.624215652,0.958333333,0.622323103,0.623707476,exp1a,25
15,4,within,0.6439675,0.944444444,0.670177084,0.668352664,exp1a,25
15,8,between,0.619932292,1,0.623310788,0.626599682,exp1a,25
15,8,within,0.685655571,0.972222222,0.672970711,0.665053029,exp1a,25
15,16,between,0.581387083,1,0.625286159,0.629491889,exp1a,25
15,16,within,0.704163472,1,0.678557966,0.661753393,exp1a,25
16,1,between,0.567422391,0.958333333,0.536355837,0.544407297,exp1a,26
16,1,within,0.615722059,0.944444444,0.591508429,0.59527636,exp1a,26
16,2,between,0.526214318,0.916666667,0.538799684,0.543520044,exp1a,26
16,2,within,0.590164714,0.972222222,0.597520927,0.603787319,exp1a,26
16,4,between,0.508198958,1,0.543687379,0.54263279,exp1a,26
16,4,within,0.578206389,1,0.609545923,0.612298278,exp1a,26
16,8,between,0.57047,1,0.553462768,0.541745537,exp1a,26
16,8,within,0.64807803,0.916666667,0.633595914,0.620809236,exp1a,26
16,16,between,0.509317292,1,0.573013545,0.540858284,exp1a,26
16,16,within,0.665133594,0.888888889,0.681695897,0.629320195,exp1a,26
17,1,between,0.494557292,1,0.497738847,0.491946928,exp1a,27
17,1,within,0.482972286,0.972222222,0.508060361,0.489682525,exp1a,27
17,2,between,0.506303333,1,0.504660622,0.508498128,exp1a,27
17,2,within,0.545996324,0.944444444,0.525307657,0.533554459,exp1a,27
17,4,between,0.521607826,0.958333333,0.518504171,0.525049327,exp1a,27
17,4,within,0.572673382,0.944444444,0.559802251,0.577426394,exp1a,27
17,8,between,0.544626458,1,0.546191269,0.541600526,exp1a,27
17,8,within,0.620319714,0.972222222,0.628791437,0.621298328,exp1a,27
17,16,between,0.5918,1,0.601565466,0.558151726,exp1a,27
17,16,within,0.612777353,0.944444444,0.766769811,0.665170263,exp1a,27
18,1,between,0.452129375,1,0.413893926,0.418815688,exp1a,28
18,1,within,0.494074861,1,0.477573296,0.471240758,exp1a,28
18,2,between,0.38751375,1,0.420316873,0.427309917,exp1a,28
18,2,within,0.472819194,0.861111111,0.491464484,0.500929629,exp1a,28
18,4,between,0.415455417,1,0.433162768,0.435804146,exp1a,28
18,4,within,0.518337059,0.944444444,0.519246861,0.5306185,exp1a,28
18,8,between,0.471129583,1,0.458854558,0.444298375,exp1a,28
18,8,within,0.577865143,0.972222222,0.574811615,0.560307371,exp1a,28
18,16,between,0.495025833,1,0.510238138,0.452792604,exp1a,28
18,16,within,0.592588485,0.916666667,0.685941121,0.589996242,exp1a,28
