Subject,setsize,cond,RT,Correct
8,1,bt,0.46447279137931036,0.9666666666666667
8,1,wb,0.5101566779661016,0.9833333333333333
8,1,wt,0.4732526192982456,0.95
8,1,ww,0.5178339000000001,0.9666666666666667
8,2,bb,0.5279140444444445,0.9
8,2,bt,0.5231370228070176,0.95
8,2,wb,0.5648987620689655,0.9666666666666667
8,2,wt,0.5341225228070176,0.95
8,2,ww,0.5953046827586207,0.9666666666666667
8,4,bb,0.6315155285714286,0.9333333333333333
8,4,bt,0.587139803508772,0.95
8,4,wb,0.6653755233333333,1.0
8,4,wt,0.6699815054545455,0.9166666666666666
8,4,ww,0.6782693551724137,0.9666666666666667
8,8,bb,0.5444358285714286,0.9333333333333333
8,8,bt,0.5758306038461538,0.8666666666666667
8,8,wb,0.6215545929824561,0.95
8,8,wt,0.6037695327586207,0.9666666666666667
8,8,ww,0.77337975,1.0
9,1,bb,0.45877698620689655,0.9666666666666667
9,1,bt,0.4920912553571429,0.9333333333333333
9,1,wb,0.479527024137931,0.9666666666666667
9,1,wt,0.5033016517241379,0.9666666666666667
9,1,ww,0.4642813966666666,1.0
9,2,bb,0.5746554535714286,0.9333333333333333
9,2,bt,0.5794069596491228,0.95
9,2,wb,0.6212476293103448,0.9666666666666667
9,2,wt,0.572513607142857,0.9333333333333333
9,2,ww,0.6199148099999999,1.0
9,4,bb,0.6258620857142857,0.9333333333333333
9,4,bt,0.6007923070175439,0.95
9,4,wb,0.651557122413793,0.9666666666666667
9,4,wt,0.6577068625000001,0.9333333333333333
9,4,ww,0.6807975517241379,0.9666666666666667
9,8,bb,0.5771855357142857,0.9333333333333333
9,8,bt,0.6820084054545454,0.9166666666666666
9,8,wb,0.67423856,0.9166666666666666
9,8,wt,0.6991464388888888,0.9
9,8,ww,0.7267489620689654,0.9666666666666667
10,1,bb,0.5524709566666667,1.0
10,1,bt,0.5485381203389831,0.9833333333333333
10,1,wb,0.545382901754386,0.95
10,1,wt,0.5685650844827587,0.9666666666666667
10,1,ww,0.60342342,1.0
10,2,bb,0.5655849266666666,1.0
10,2,bt,0.6316468533333333,1.0
10,2,wb,0.5805196266666667,1.0
10,2,wt,0.5725341379310345,0.9666666666666667
10,2,ww,0.6675428,1.0
10,4,bb,0.58640447,1.0
10,4,bt,0.6086874894736841,0.95
10,4,wb,0.6256961145454546,0.9166666666666666
10,4,wt,0.6195264610169491,0.9833333333333333
10,4,ww,0.5869508862068965,0.9666666666666667
10,8,bb,0.6503785103448275,0.9666666666666667
10,8,bt,0.6656884807017543,0.95
