cate,subCate,stimulus,markCode,dur,acc,markCodeResp,rt,resp,onsetT,setsize,subj,age,sex,handed
Animals,fish,Stimuli/Animals/fish/fish_06.jpg,1,1.8,1,55,0,,1109.939865,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_16.jpg,1,2.3,1,55,0,,1111.955366,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_12.jpg,1,1.8,1,55,0,,1114.470415,2,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_05.jpg,1,2.3,1,55,0,,1116.485157,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/new08.jpg,2,1.8,1,55,0,,1119.000182,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/26378610.thl.jpg,2,2.3,1,55,0,,1121.016591,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle35.jpg,2,1.8,1,55,0,,1123.532104,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_08.jpg,1,2.3,1,55,0,,1125.547574,2,1,30,F,L
Objects,sofa,Stimuli/Objects/sofa/ALOVSEA12.jpg,2,1.8,0,97,0.393237,f,1128.063222,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/freeplay-jonta-flashlight.jpg,2,1.8,1,55,0,,1130.072149,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_09.jpg,1,2.3,1,55,0,,1132.08726,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/Flashlight.jpg,2,2.3,1,55,0,,1134.602686,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO14.jpg,2,1.8,1,55,0,,1137.117811,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/spoonr.jpg,2,1.8,1,55,0,,1139.132951,2,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush30.jpg,2,2.3,1,55,0,,1141.148712,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/sl_tasklight_2l3w.jpg,2,2.3,1,55,0,,1143.664023,2,1,30,F,L
num,num,62,9,1.8,1,97,0.5214292,f,1146.177941,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/xsaltspoon6.jpg,2,1.8,1,55,0,,1148.187974,2,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_10.jpg,1,1.8,1,55,0,,1150.203668,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_04.jpg,1,2.3,1,55,0,,1152.218907,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/834808_sk_lg.jpg,2,2.3,1,55,0,,1154.73434,2,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_16.jpg,1,1.8,1,55,0,,1157.250006,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_08.jpg,1,1.8,1,55,0,,1159.266432,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26390708.thl.jpg,2,1.8,1,55,0,,1161.281802,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_02.jpg,1,2.3,1,55,0,,1163.297748,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_01.jpg,1,1.8,1,55,0,,1165.813572,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_13.jpg,1,1.8,1,55,0,,1167.829087,2,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_02.jpg,1,1.8,1,55,0,,1169.844936,2,1,30,F,L
num,num,20,9,1.8,1,97,0.3867522,f,1171.859524,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/hawkgt-red-lrg.jpg,2,2.3,1,55,0,,1173.869455,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_16.jpg,1,1.8,1,55,0,,1176.385257,2,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/Hairbrush.jpg,2,1.8,1,55,0,,1178.401334,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_06.jpg,1,2.3,1,55,0,,1180.416748,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/sportmotorcycle.jpg,2,2.3,1,55,0,,1182.931379,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26390663.thl.jpg,2,1.8,1,55,0,,1185.446119,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/Motorcycle903425j2.jpg,2,1.8,1,55,0,,1187.46088,2,1,30,F,L
num,num,46,9,1.8,1,97,0.558348,f,1189.474965,2,1,30,F,L
Objects,glove,Stimuli/Objects/glove/Awinterglov14.jpg,2,2.3,1,55,0,,1191.483502,2,1,30,F,L
Animals,wolf,Stimuli/Animals/wolf/wolf_09.jpg,1,2.3,1,55,0,,1193.998775,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_13.jpg,1,1.8,1,55,0,,1196.512932,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_06.jpg,1,2.3,1,55,0,,1198.527444,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle14.jpg,2,2.3,1,55,0,,1201.042645,2,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/serenity2000-canada_1903_2658146.jpg,2,1.8,1,55,0,,1203.557335,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_07.jpg,1,2.3,1,55,0,,1205.571797,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle30.jpg,2,1.8,1,55,0,,1208.086361,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_06.jpg,1,2.3,1,55,0,,1210.10106,2,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle45364t4t.jpg,2,1.8,1,55,0,,1212.616219,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/26427266.thl.jpg,2,2.3,1,55,0,,1214.631628,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_04.jpg,1,2.3,1,55,0,,1217.146504,2,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_15.jpg,1,2.3,1,55,0,,1219.661077,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/pot9.jpg,2,1.8,1,55,0,,1222.176002,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_07.jpg,1,1.8,1,55,0,,1224.191084,2,1,30,F,L
Objects,bowtie,Stimuli/Objects/bowtie/WT999001L.jpg,2,1.8,1,55,0,,1226.205993,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/freeplay-xray-wind-up-led-flashlight.jpg,2,1.8,1,55,0,,1228.221321,2,1,30,F,L
Objects,ceilingfan,Stimuli/Objects/ceilingfan/1414c675-de2c-42cd-861f-023079543b17_300.jpg,2,1.8,1,55,0,,1230.235669,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/cuillere-africaine-dan-ca.jpg,2,1.8,1,55,0,,1232.250329,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/4004b.jpg,2,2.3,1,55,0,,1234.26486,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO51.jpg,2,1.8,1,55,0,,1236.779742,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/cuilllercuiller.jpg,2,2.3,1,55,0,,1238.794518,2,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_15.jpg,1,2.3,1,55,0,,1241.309498,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_02.jpg,1,2.3,1,55,0,,1243.824726,2,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_01.jpg,1,1.8,1,55,0,,1246.340047,2,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/834784_sk_lg.jpg,2,2.3,1,55,0,,1248.354871,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_04.jpg,1,2.3,1,55,0,,1250.870235,2,1,30,F,L
Objects,camcorder,Stimuli/Objects/camcorder/Camcorder.jpg,2,2.3,1,55,0,,1253.384967,2,1,30,F,L
num,num,64,9,1.8,1,97,0.7634405,f,1255.898926,2,1,30,F,L
Objects,bed,Stimuli/Objects/bed/510F16ita7L._AA262_.jpg,2,2.3,1,55,0,,1257.908485,2,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush47.jpg,2,2.3,1,55,0,,1260.423127,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_12.jpg,1,2.3,1,55,0,,1262.937898,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_03.jpg,1,1.8,1,55,0,,1265.452505,2,1,30,F,L
Objects,pitcher,Stimuli/Objects/pitcher/APITCHER.jpg,2,1.8,1,55,0,,1267.467706,2,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush12.jpg,2,1.8,1,55,0,,1269.482209,2,1,30,F,L
Animals,deer,Stimuli/Animals/deer/deer_11.jpg,1,1.8,1,55,0,,1271.497089,2,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_15.jpg,1,1.8,1,55,0,,1273.512114,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/22945915.thl.jpg,2,1.8,1,55,0,,1275.527279,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26461075.thl.jpg,2,2.3,1,55,0,,1277.542655,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO31.jpg,2,2.3,1,55,0,,1280.057565,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26390697.thl.jpg,2,2.3,1,55,0,,1282.572766,2,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_08.jpg,1,1.8,1,55,0,,1285.087646,2,1,30,F,L
Objects,sofa,Stimuli/Objects/sofa/ALOVSEA12.jpg,2,1.8,1,55,0,,1865.44241,8,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/xsaltspoon6.jpg,2,1.8,1,55,0,,1867.456506,8,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO31.jpg,2,2.3,1,55,0,,1869.470837,8,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO51.jpg,2,1.8,1,55,0,,1871.984797,8,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_14.jpg,1,1.8,1,55,0,,1873.999135,8,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_05.jpg,1,2.3,1,55,0,,1876.013683,8,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_06.jpg,1,2.3,1,55,0,,1878.528242,8,1,30,F,L
